Date,Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
01-05-2019,750-67-8428,Yangon,Member,Female,Health and beauty,74.69,7.00,26.14,548.97,Ewallet,522.83,4.76,26.14,9.1
02-05-2019,226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,15.28,5.00,3.82,80.22,Cash,76.40,4.76,3.82,9.6
03-05-2019,631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,7.00,16.22,340.53,Credit card,324.31,4.76,16.22,7.4
04-05-2019,123-19-1176,Yangon,Member,Male,Health and beauty,58.22,8.00,23.29,489.05,Ewallet,465.76,4.76,23.29,8.4
05-05-2019,373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,7.00,30.21,634.38,Ewallet,604.17,4.76,30.21,5.3
06-05-2019,699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,7.00,29.89,627.62,Ewallet,597.73,4.76,29.89,4.1
07-05-2019,355-53-5943,Yangon,Member,Female,Electronic accessories,68.84,6.00,20.65,433.69,Ewallet,413.04,4.76,20.65,5.8
08-05-2019,315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10.00,36.78,772.38,Ewallet,735.60,4.76,36.78,8.0
09-05-2019,665-32-9167,Yangon,Member,Female,Health and beauty,36.26,2.00,3.63,76.15,Credit card,72.52,4.76,3.63,7.2
10-05-2019,692-92-5582,Mandalay,Member,Female,Food and beverages,54.84,3.00,8.23,172.75,Credit card,164.52,4.76,8.23,5.9
11-05-2019,351-62-0822,Mandalay,Member,Female,Fashion accessories,14.48,4.00,2.90,60.82,Ewallet,57.92,4.76,2.90,4.5
12-05-2019,529-56-3974,Mandalay,Member,Male,Electronic accessories,25.51,4.00,5.10,107.14,Cash,102.04,4.76,5.10,6.8
13-05-2019,365-64-0515,Yangon,Normal,Female,Electronic accessories,46.95,5.00,11.74,246.49,Ewallet,234.75,4.76,11.74,7.1
14-05-2019,252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,10.00,21.60,453.50,Ewallet,431.90,4.76,21.60,8.2
15-05-2019,829-34-3910,Yangon,Normal,Female,Health and beauty,71.38,10.00,35.69,749.49,Cash,713.80,4.76,35.69,5.7
16-05-2019,299-46-1805,Mandalay,Member,Female,Sports and travel,93.72,6.00,28.12,590.44,Cash,562.32,4.76,28.12,4.5
17-05-2019,656-95-9349,Yangon,Member,Female,Health and beauty,68.93,7.00,24.13,506.64,Credit card,482.51,4.76,24.13,4.6
18-05-2019,765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,6.00,21.78,457.44,Credit card,435.66,4.76,21.78,6.9
19-05-2019,329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,3.00,8.20,172.21,Credit card,164.01,4.76,8.20,8.6
20-05-2019,319-50-3348,Mandalay,Normal,Female,Home and lifestyle,40.30,2.00,4.03,84.63,Ewallet,80.60,4.76,4.03,4.4
